president,speech_label,matched_title,document_date,document_type,block_idx,block_size,sentence_start,sentence_end,text,n_sentences,n_words,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,moral_vector_R5,cosine_gonye,cosine_pergel,cosine_yasa,cosine_gpy_sum_vector,delta_vector_discriminant
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,0,2,0,1,"My friends, before I begin the expression of those thoughts that I deem appropriate to this moment, would you permit me the privilege of uttering a little private prayer of my own. And I ask that you bow your heads: Almighty God, as we stand here at this moment my future associates in the Executive branch of Government join me in beseeching that Thou will make full and complete our dedication to the service of the people in this throng, and their fellow citizens everywhere.",2,85,0.11854160254838676,0.10515381710390873,0.11532738057045538,0.10828530235227361,0.09585514552385742,-0.02676697044746088,0.05336261620534914,0.01904842967817678,0.006457505723683625,0.015322036090593984,1.9166666666666667,7.962357684058031e-05,0.000823539381481953,"[0.11854160254838676, 0.10515381710390873, 0.11532738057045538, 0.10828530235227361, 0.09585514552385742]",0.7784303852831204,0.7836326362805507,0.7723643603745961,0.9503350866853757,-0.004385060781101957
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,1,2,2,3,"Give us, we pray, the power to discern clearly right from wrong, and allow all our words and actions to be governed thereby, and by the laws of this land. Especially we pray that our concern shall be for all the people regardless of station, race or calling.",2,48,0.12119649234129758,0.12410985176222614,0.10645510378483718,0.1218406444321915,0.09872865526167401,-0.04606250002217756,-0.010028435554347483,0.022335393741887293,0.0019773692565309233,-0.05531394318656656,3.2,0.00012613181548514036,0.0010669320539789698,"[0.12119649234129758, 0.12410985176222614, 0.10645510378483718, 0.1218406444321915, 0.09872865526167401]",0.7902200437019438,0.8275929693440405,0.7559175457308507,0.9665153209825775,9.009566985022227e-05
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,2,2,4,5,"May cooperation be permitted and be the mutual aim of those who, under the concepts of our Constitution, hold to differing political faiths; so that all may work for the good of our beloved country and Thy glory. Amen.",2,39,0.12759363733500217,0.126634855224437,0.11852966527784216,0.11820076450191636,0.09771479022994801,-0.061026725509611066,0.08215690364649181,0.08330222359485824,0.0676451832747126,0.12230647129139721,1.125,0.00014451434537486994,0.004903906929649985,"[0.12759363733500217, 0.126634855224437, 0.11852966527784216, 0.11820076450191636, 0.09771479022994801]",0.7972796272007572,0.8127427034596072,0.7515169939302705,0.9614894463467994,-0.0017531790424595503
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,3,2,6,7,My fellow citizens: The world and we have passed the midway point of a century of continuing challenge. We sense with all our faculties that forces of good and evil are massed and armed and opposed as rarely before in history.,2,41,0.1123361211637193,0.08794507525663121,0.11010577180621604,0.13706214185623294,0.10793846017209595,-0.16545039908302275,-0.007582103476740118,0.008543108736850092,-0.04597070999842086,-0.02780280330516041,2.8,0.00030567316021521275,0.004759191755915955,"[0.1123361211637193, 0.08794507525663121, 0.11010577180621604, 0.13706214185623294, 0.10793846017209595]",0.7162529075997598,0.7798101102388865,0.8370916005100466,0.9497965497637152,-0.004906721243483743
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,4,2,8,9,"This fact defines the meaning of this day. We are summoned by this honored and historic ceremony to witness more than the act of one citizen swearing his oath of service, in the presence of God.",2,36,0.08213667370258665,0.08617005823583976,0.08112879931267312,0.11430282666366423,0.09658240684063416,-0.08530765405608881,0.08446960437710437,0.11848318627146374,0.09047583995772496,0.11402435360094448,2.2,0.0001919625956609409,0.007220670853936695,"[0.08213667370258665, 0.08617005823583976, 0.08112879931267312, 0.11430282666366423, 0.09658240684063416]",0.7017674540654771,0.82254804283996,0.8192338961542445,0.9542578077038446,0.0008071177341776418
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,5,2,10,11,"We are called as a people to give testimony in the sight of the world to our faith that the future shall belong to the free. Since this century's beginning, a time of tempest has seemed to come upon the continents of the earth.",2,44,0.1106455190343872,0.12577596586000445,0.08755972708547496,0.09875079392986268,0.09949057042947684,-0.03514249429074142,0.11232562048442593,0.05016776362995723,0.0827087972512353,0.05915100386848258,1.4285714285714286,0.00020888483404452566,0.003053387901893077,"[0.1106455190343872, 0.12577596586000445, 0.08755972708547496, 0.09875079392986268, 0.09949057042947684]",0.800492814767964,0.8320760669240753,0.7036102910317046,0.9513285404271855,0.002648956354182018
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,6,2,12,13,Masses of Asia have awakened to strike off shackles of the past. Great nations of Europe have fought their bloodiest wars.,2,21,0.1168921969058459,0.06328214641241485,0.09272612042327949,0.09111658013706336,0.08808016014444085,-0.2114295213120213,-0.1519987170868347,-0.14774116414835162,-0.1964932771164021,-0.2082543489763055,1.0,0.00036212964266081735,0.0009580463027895076,"[0.1168921969058459, 0.06328214641241485, 0.09272612042327949, 0.09111658013706336, 0.08808016014444085]",0.7735565554641213,0.6983830249811285,0.7758799271702488,0.9147487742110677,-0.008425720164161633
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,7,2,14,15,Thrones have toppled and their vast empires have disappeared. New nations have been born.,2,14,0.06349607696161735,0.05233790154914593,0.07104391116923373,0.051125430632098824,0.044874148023794275,-0.18559193925518924,-0.05322168719211817,0.045391742069406,-0.05790293706293708,-0.15085189393939397,1.0,0.00011045286051503619,0.008274287024745782,"[0.06349607696161735, 0.05233790154914593, 0.07104391116923373, 0.051125430632098824, 0.044874148023794275]",0.7766173927520481,0.7456539211995,0.7710114646074577,0.9334439380767414,-0.002124676736192918
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,8,2,16,17,"For our own country, it has been a time of recurring trial. We have grown in power and in responsibility.",2,20,0.10635323741097562,0.12591299948733017,0.1000896473184408,0.1353480699645669,0.09209383222486081,-0.09739512153706312,0.02406872887563844,-0.06593554998489883,-0.025087730489314418,0.0007202836365393414,2.5,0.0003271734229912938,0.002421901942192845,"[0.10635323741097562, 0.12591299948733017, 0.1000896473184408, 0.1353480699645669, 0.09209383222486081]",0.7647942726196879,0.8642600396353529,0.7795956513093794,0.9808765588132726,0.004137887007840388
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,9,2,18,19,"We have passed through the anxieties of depression and of war to a summit unmatched in man's history. Seeking to secure peace in the world, we have had to fight through the forests of the Argonne to the shores of Iwo Jima, and to the cold mountains of Korea.",2,49,0.13481094142466826,0.10906662606328939,0.09326368155658263,0.11128318746404312,0.08550513874073343,-0.13075385030325007,-0.10586898648949143,-0.0189335018579372,0.00830830807808457,-0.031523587581775994,0.9090909090909091,0.0003616378610421611,0.0035458326753766097,"[0.13481094142466826, 0.10906662606328939, 0.09326368155658263, 0.11128318746404312, 0.08550513874073343]",0.8355199528291859,0.7942989348365886,0.725804721611602,0.958985189619736,-0.00368481907039718
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,10,2,20,21,"In the swift rush of great events, we find ourselves groping to know the full sense and meaning of these times in which we live. In our quest of understanding, we beseech God's guidance.",2,34,0.10348111575860114,0.0877284496258063,0.07891734163942553,0.07425892551707353,0.07283660129145725,0.087478348488444,0.12835498641892057,0.17796780944556792,0.08597914072618293,0.1141113770968615,1.1428571428571428,0.0001593039129668015,0.0014180907335617171,"[0.10348111575860114, 0.0877284496258063, 0.07891734163942553, 0.07425892551707353, 0.07283660129145725]",0.830412546997177,0.7754220209123618,0.706528091561244,0.9413484357925932,-0.002485209137055959
Dwight D. Eisenhower,1953 Inaugural Address,1  - Inaugural Address,1953-01-20,Oral,11,2,22,23,We summon all our knowledge of the past and we scan all signs of the future. We bring all our wit and all our will to meet the question: How far have we come in man's long pilgrimage from darkness toward the light?,2,43,0.08852094276804064,0.09280733474696284,0.08333137738729464,0.1025466907090075,0.07437661412347081,-0.0541448633028793,0.06644870145931935,-0.04485324428292908,-0.03272211314441815,-0.030949291505460358,2.4,0.00011046989671418736,0.002383954029613776,"[0.08852094276804064, 0.09280733474696284, 0.08333137738729464, 0.1025466907090075, 0.07437661412347081]",0.7691063770377926,0.8379987124728402,0.7849639979027606,0.9740054994457089,0.00044947610843275657
